1150	250	0	3.49E-01	-4.31E+00	1.48E-01	4.77E-01	4.75E+00	8.50E+00	-8.26E-01
1250	250	0	3.45E-01	-4.27E+00	-6.86E-01	-1.15E-01	4.76E+00	8.39E+00	-1.56E-01
1350	250	0	3.28E-01	-4.42E+00	-1.51E+00	-8.73E-01	4.53E+00	7.61E+00	-3.32E-01
1450	250	0	3.06E-01	-4.02E+00	-2.49E+00	-1.56E+00	4.31E+00	7.57E+00	-2.96E-01
1550	250	0	2.99E-01	-3.40E+00	-3.30E+00	-2.03E+00	3.54E+00	7.11E+00	-6.12E-01
1650	250	0	2.64E-01	-2.27E+00	-3.68E+00	-2.93E+00	3.00E+00	5.61E+00	-4.92E-01
1750	250	0	2.38E-01	-1.38E+00	-3.93E+00	-2.82E+00	2.72E+00	5.10E+00	-7.66E-01
1850	250	0	2.28E-01	-5.88E-01	-3.90E+00	-2.88E+00	1.88E+00	4.08E+00	-8.88E-01
1950	250	0	2.08E-01	1.50E-01	-3.65E+00	-2.81E+00	1.13E+00	3.33E+00	-1.11E+00
50	350	0	1.82E-01	7.61E-01	3.86E+00	2.96E+00	7.06E-01	2.87E+00	-1.20E+00
150	350	0	2.35E-01	1.02E-01	4.17E+00	3.12E+00	1.40E+00	3.54E+00	-1.80E+00
250	350	0	2.11E-01	-7.82E-01	4.17E+00	3.39E+00	2.04E+00	4.75E+00	-1.13E+00
350	350	0	2.67E-01	-1.68E+00	3.92E+00	2.99E+00	2.85E+00	6.50E+00	-8.01E-01
450	350	0	2.98E-01	-2.32E+00	3.48E+00	2.74E+00	3.49E+00	6.92E+00	-9.41E-01
550	350	0	3.48E-01	-2.87E+00	2.96E+00	2.54E+00	3.46E+00	7.43E+00	-6.86E-01
650	350	0	3.54E-01	-3.09E+00	2.17E+00	2.00E+00	3.75E+00	8.52E+00	-8.71E-01
750	350	0	3.61E-01	-3.13E+00	1.75E+00	1.87E+00	3.76E+00	8.75E+00	-6.24E-01
850	350	0	3.92E-01	-3.23E+00	1.58E+00	1.63E+00	3.62E+00	8.66E+00	-6.31E-01
950	350	0	4.10E-01	-3.54E+00	1.34E+00	1.69E+00	3.60E+00	9.54E+00	1.04E-02
